,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
0,SI,2024-04-16,89.6,1.76,6.19,"Miley, Wade",701538,489119,field_out,hit_into_play,,,,,12.0,Jackson Merrill flies out to center fielder Blake Perkins.,R,L,L,MIL,SD,X,8.0,fly_ball,1,1,2024,0.96,1.35,1.01,3.37,592518.0,,,2,3,Top,122.13,95.49,,,,,-3.8755076492729774,-130.52834445959778,-3.8830887624651456,11.7936167227218,25.70484392958632,-16.09460907300215,3.59,1.66,260.0,73.8,35.0,89.9,2329.0,6.3,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.21,0.237,0.213,0.0,1.0,0.0,0.0,3.0,24,3,Sinker,1,4,4,1,4,1,4,1,Standard,Standard,161.0,0.023,-0.32,72.6,6.8,0.263,0.32,88.0,-3,3,0.201,0.799,37,21,38,21,2,1,6.0,1.0,,1.0,1.47,0.96,0.96,53.0
1,FC,2024-04-16,87.2,1.6,6.23,"Miley, Wade",701538,489119,,foul,,,,,13.0,Jackson Merrill flies out to center fielder Blake Perkins.,R,L,L,MIL,SD,S,,,1,0,2024,-0.52,0.98,-1.02,2.18,592518.0,,,2,3,Top,,,,,,,-5.255453760220501,-126.85550424002116,-5.640462100659906,-4.646812293966727,24.028909427628555,-20.678071352287457,3.59,1.66,,,,87.6,2304.0,6.4,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.1,,,,,,,,24,2,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,178.0,0.0,-0.047,69.4,7.9,,0.047,,-3,3,0.201,0.799,37,21,38,21,2,1,6.0,1.0,,1.0,2.0,-0.52,-0.52,54.4
2,FC,2024-04-16,87.6,1.57,6.21,"Miley, Wade",701538,489119,,ball,,,,,11.0,Jackson Merrill flies out to center fielder Blake Perkins.,R,L,L,MIL,SD,B,,,0,0,2024,-0.18,0.78,-0.94,2.8,592518.0,,,2,3,Top,,,,,,,-5.673253898588428,-127.41922658300058,-3.736131004249393,-0.8357821443260841,25.67946884895817,-23.111545898774004,3.58,1.7,,,,87.8,2275.0,6.4,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.08,,,,,,,,24,1,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,178.0,0.0,0.039,,,,-0.039,,-3,3,0.201,0.799,37,21,38,21,2,1,6.0,1.0,,1.0,2.19,-0.18,-0.18,53.6
3,FC,2024-04-16,86.0,1.88,6.07,"Miley, Wade",669134,489119,field_out,hit_into_play,,,,,8.0,"Luis Campusano grounds out, third baseman Joey Ortiz to first baseman Jake Bauers.   Manny Machado to 3rd.",R,R,L,MIL,SD,X,5.0,ground_ball,3,2,2024,-0.23,0.49,0.26,1.91,,592518.0,,1,3,Top,99.99,168.19,,,,,-3.373351308789408,-125.21326071355988,-4.647545893146826,-1.8324754003872703,23.594278502468114,-26.29602744239037,3.46,1.63,2.0,79.3,-43.0,86.3,2293.0,6.3,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.2,0.1,0.076,0.0,1.0,0.0,0.0,2.0,23,8,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,169.0,0.017,-0.335,71.4,7.4,0.107,0.335,88.0,-3,3,0.184,0.816,37,25,38,26,2,1,6.0,1.0,,3.0,2.57,-0.23,0.23,51.2
4,CH,2024-04-16,84.2,2.03,6.0,"Miley, Wade",669134,489119,,ball,,,,,14.0,"Luis Campusano grounds out, third baseman Joey Ortiz to first baseman Jake Bauers.   Manny Machado to 3rd.",R,R,L,MIL,SD,B,,,2,2,2024,1.26,0.68,0.56,1.23,,592518.0,,1,3,Top,,,,,,,-5.921061195799142,-122.43333460275062,-6.027078251340422,13.853273317327908,24.203649032929576,-24.345197887792825,3.27,1.61,,,,84.2,1698.0,6.4,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.15,,,,,,,,23,7,Changeup,1,4,4,1,4,1,4,1,Standard,Standard,132.0,0.0,0.091,,,,-0.091,,-3,3,0.184,0.816,37,25,38,26,2,1,6.0,1.0,,3.0,2.54,1.26,-1.26,46.9
5,FF,2024-04-16,91.1,1.64,6.24,"Miley, Wade",669134,489119,,foul,,,,,11.0,"Luis Campusano grounds out, third baseman Joey Ortiz to first baseman Jake Bauers.   Manny Machado to 3rd.",R,R,L,MIL,SD,S,,,2,2,2024,0.28,1.36,-0.14,3.85,,592518.0,,1,3,Top,,,,,,,-5.050315573133142,-132.54951806292902,-3.0051648184449298,4.3775187787138,27.981047515684107,-15.733318300580102,3.46,1.63,228.0,71.1,33.0,91.0,2278.0,6.2,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.3,,,,,,,,23,6,4-Seam Fastball,1,4,4,1,4,1,4,1,Infield shade,Standard,161.0,0.0,0.0,58.6,5.7,,0.0,88.0,-3,3,0.184,0.816,37,25,38,26,2,1,6.0,1.0,,3.0,1.39,0.28,-0.28,52.6
6,SI,2024-04-16,89.8,1.69,6.2,"Miley, Wade",669134,489119,,foul,,,,,11.0,"Luis Campusano grounds out, third baseman Joey Ortiz to first baseman Jake Bauers.   Manny Machado to 3rd.",R,R,L,MIL,SD,S,,,2,2,2024,1.14,1.09,-0.02,3.59,,592518.0,,1,3,Top,,,,,,,-6.651343613888478,-130.6157431046898,-2.804792507052769,14.468894978966937,26.26754102158794,-19.232304176316017,3.46,1.63,262.0,82.1,39.0,90.0,2273.0,6.3,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.16,,,,,,,,23,5,Sinker,1,4,4,1,4,1,4,1,Standard,Standard,154.0,0.0,0.0,51.3,5.6,,0.0,88.0,-3,3,0.184,0.816,37,25,38,26,2,1,6.0,1.0,,3.0,1.72,1.14,-1.14,51.8
7,FC,2024-04-16,85.2,2.02,6.07,"Miley, Wade",669134,489119,,foul,,,,,6.0,"Luis Campusano grounds out, third baseman Joey Ortiz to first baseman Jake Bauers.   Manny Machado to 3rd.",R,R,L,MIL,SD,S,,,2,1,2024,-0.22,0.69,0.6,2.38,,592518.0,,1,3,Top,,,,,,,-2.8833926150173146,-124.18435382644246,-3.8301264823401295,-1.7671393323785975,21.836697933530008,-24.52723201520785,3.46,1.63,172.0,65.5,54.0,85.5,2337.0,6.1,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.37,,,,,,,,23,4,Cutter,1,4,4,1,4,1,4,1,Standard,Standard,186.0,0.0,-0.1,64.6,7.2,,0.1,88.0,-3,3,0.184,0.816,37,25,38,26,2,1,6.0,1.0,,3.0,2.41,-0.22,0.22,49.3
8,CH,2024-04-16,83.2,2.02,5.93,"Miley, Wade",669134,489119,,blocked_ball,,,,,14.0,"Luis Campusano grounds out, third baseman Joey Ortiz to first baseman Jake Bauers.   Manny Machado to 3rd.",R,R,L,MIL,SD,B,,,1,1,2024,1.18,0.48,0.06,0.78,,592518.0,,1,3,Top,,,,,,,-6.782888439274024,-120.98357128084042,-6.346764285337673,12.848697346896184,21.599304912687803,-26.48264887969803,3.07,1.57,,,,83.4,1660.0,6.3,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.22,,,,,,,,23,3,Changeup,1,4,4,1,4,1,4,1,Infield shade,Standard,121.0,0.0,0.047,,,,-0.047,,-3,3,0.184,0.816,37,25,38,26,2,1,6.0,1.0,,3.0,2.8,1.18,-1.18,44.6
9,FC,2024-04-16,85.0,1.94,6.07,"Miley, Wade",669134,489119,,ball,,,,,14.0,"Luis Campusano grounds out, third baseman Joey Ortiz to first baseman Jake Bauers.   Manny Machado to 3rd.",R,R,L,MIL,SD,B,,,0,1,2024,-0.32,0.58,0.29,1.4,,592518.0,,1,3,Top,,,,,,,-3.2373671089546265,-123.90800607225994,-5.910304363249015,-2.7589043054838465,20.672521186579964,-25.330923152098485,3.19,1.59,,,,85.7,2149.0,6.3,746004,661388,641343,668930,687401,642715,686217,663368,694192,54.2,,,,,,,,23,2,Cutter,1,4,4,1,4,1,4,1,Infield shade,Standard,182.0,0.0,0.025,,,,-0.025,,-3,3,0.184,0.816,37,25,38,26,2,1,6.0,1.0,,3.0,2.52,-0.32,0.32,46.4
