Trial ID,Hidden layers,Hidden units,Activation,Recurrent Activation,Score,Pitch Accuracy,Vertical Accuracy,Horizontal Accuracy
05,1,128,relu,sigmoid,-1.9858490228652954,0.5795148015022278,0.7183288335800171,0.6880053877830505
04,3,128,relu,tanh,-1.9511455297470093,0.5906334519386292,0.7011455297470093,0.6593665480613708
07,1,256,relu,relu,-1.7688679099082947,0.5353773832321167,0.6223045587539673,0.6111859679222107
01,1,256,tanh,elu,-1.739555299282074,0.4966307282447815,0.6469002962112427,0.5960242748260498
03,2,256,relu,relu,-1.7331535816192627,0.5020215511322021,0.6314015984535217,0.5997304320335388
06,3,256,relu,relu,-1.663072794675827,0.4828167259693146,0.6169137358665466,0.5633423328399658
08,3,256,tanh,elu,-1.6202829778194427,0.4575471580028534,0.6101751923561096,0.5525606274604797
09,1,512,sigmoid,elu,-1.6108490824699402,0.4460916519165039,0.6169137358665466,0.5478436946868896
00,2,256,elu,relu,-1.5744608640670776,0.45485174655914307,0.6132075190544128,0.5064015984535217
02,3,512,tanh,relu,-1.5562668442726135,0.40902966260910034,0.6169137358665466,0.5303234457969666
